date,temperature_2m_max,temperature_2m_min,precipitation_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,vapour_pressure_deficit_max,soil_temperature_0_to_7cm_mean
1990-01-01,21.4,5.3,0,15.43,2.95,1.56,14.4
1990-01-02,20.2,4.7,0,15.17,3.41,1.64,13.6
1990-01-03,21.6,12,4.6,11.75,2.96,1.29,16.3
1990-01-04,21.7,10,0,15.69,4.15,2.06,14.8
1990-01-05,18.5,2.5,0,16.02,2.85,1.38,11.9
1990-01-06,21.4,4.8,0,15.5,3.45,1.74,12.5
1990-01-07,24.1,10.9,0,15.96,4.12,2.41,16.4
1990-01-08,15.9,5.8,0,15.78,2.78,1,13
1990-01-09,13.7,3.8,0,12.55,2.36,0.88,10.5
1990-01-10,14.3,0.5,0,16.28,2.73,1.08,9.4
1990-01-11,14.3,0.3,0,13.01,2.55,1.09,9.1
1990-01-12,13.8,7.1,0,9.17,2.95,1.04,12.5
1990-01-13,14.2,7,0.7,9.21,2.48,1.05,11.7
1990-01-14,16.5,6,2,13.31,2.27,0.75,12.1
1990-01-15,12.3,4.4,0,8.58,1.21,0.48,10.6
1990-01-16,14.5,3.8,0,15.91,2.39,1.05,12.3
1990-01-17,15.3,0.9,0,15.83,2.52,1.09,10.7
1990-01-18,15.8,2.5,0,15.38,2.73,1.33,11.1
1990-01-19,12.8,2.3,0,17.09,2.72,1.05,9.9
1990-01-20,15.4,-2.7,0,16.93,2.85,1.19,7.9
1990-01-21,21.5,4.8,0,15.41,3.2,1.74,13
1990-01-22,19.2,5.1,0,17.06,3.36,1.65,14.1
1990-01-23,16.7,3.8,0,17.37,3.3,1.36,13.1
1990-01-24,17.1,0.7,0,17.14,3.35,1.35,11.6
1990-01-25,12.4,2.1,0,16.68,3.36,1.07,10.2
1990-01-26,13.2,1.2,0,14.38,3.3,1.24,9.7
1990-01-27,21,5.8,1.2,13.74,4.18,1.87,13.7
1990-01-28,14.5,7.4,2.5,13.14,2.33,0.64,12.2
1990-01-29,12.5,5.9,0,11.67,1.91,0.74,11
1990-01-30,12.9,0.2,0,18.63,2.62,0.92,9
1990-01-31,18.5,-0.7,0,17.92,3.39,1.45,9.7
1990-02-01,25.6,10.2,5.6,15.8,5.17,2.42,16.7
1990-02-02,17.7,10.5,3.9,14.23,2.43,0.91,15.2
1990-02-03,15.9,6.7,0.7,14.37,2.39,0.89,12
1990-02-04,18.2,9.2,9.9,9.66,1.6,0.69,13
1990-02-05,11,7.4,1,4.9,0.89,0.37,10.7
1990-02-06,14.2,4.6,0,16.65,2.46,0.71,10.3
1990-02-07,19.5,5.7,0,17.85,3,1.08,11.8
1990-02-08,21.5,9.1,0,18.37,3.33,1.22,14.5
1990-02-09,23.6,12.2,0,17.53,4.5,2.18,15.7
1990-02-10,17.3,8.6,0,18.59,3.61,1.4,13.6
1990-02-11,17.3,2.1,0,19.72,3.66,1.42,12.6
1990-02-12,21.3,5,0,19.79,4.5,1.9,13.8
1990-02-13,23.8,7.6,0,20.23,5,2.66,16.6
1990-02-14,24.5,4.1,0,20.65,5.66,2.78,15.2
1990-02-15,23.6,9,0,20.36,5.96,2.47,16.8
1990-02-16,22.4,5.2,0,20.37,4.62,2.17,16.7
1990-02-17,27.2,8.2,0,20.61,6.18,3.26,18.2
1990-02-18,25,6.1,0,20.8,4.99,2.73,18.6
1990-02-19,20,10.7,0,20.87,5.31,1.66,18.4
1990-02-20,19.2,5.8,0,20.97,4.79,1.74,16.3
1990-02-21,22.9,5.3,0,21.24,4.95,2.34,16.4
1990-02-22,21.1,5.7,0,21.41,4.36,1.94,17.5
1990-02-23,21.9,4.6,0,21.42,4.35,2.11,16.9
1990-02-24,19.7,6.1,0,21.61,4.66,1.78,16.2
1990-02-25,19.7,5.9,0,21.57,4.8,1.74,16.6
1990-02-26,16.8,3.2,0,22.05,4.34,1.53,13.5
1990-02-27,17.6,0.3,0,22.44,4.02,1.69,13.4
1990-02-28,20.9,0.9,0,22.62,4.89,2.22,14.4
1990-03-01,26.2,8.1,0,22.22,7.25,2.97,17.6
1990-03-02,21.8,9.1,0,22.62,6.05,2.13,17.8
1990-03-03,20.3,5.8,0,22.64,4.92,1.83,16.2
1990-03-04,22,3.4,0,22.95,4.47,2.17,17.2
1990-03-05,26.6,4.7,0,23.33,5.99,3.2,18
1990-03-06,29.4,14,0,19.84,7.69,3.08,22.1
1990-03-07,29.1,12.3,0,22.66,6.56,3.48,23.7
1990-03-08,24.1,13.2,0,18.19,6.28,2.25,21
1990-03-09,24.9,12.8,0,20.66,6.43,2.5,20.6
1990-03-10,27.3,14.1,0.3,15.81,6.14,2.99,21.9
1990-03-11,26.4,16.3,1.4,16.55,5.51,2.42,21.7
1990-03-12,26.6,12.4,0.4,14.08,4.53,2.27,21.1
1990-03-13,26.3,16,0.3,21.48,6.06,2.92,22.9
1990-03-14,22.9,10,0,24.29,5.86,2.2,19.6
1990-03-15,24.1,6.8,0,23.97,5.16,2.45,20.1
1990-03-16,26.4,9,0,23.64,6.58,2.84,21.6
1990-03-17,31.2,12.9,0,20.2,7.22,3.86,23.6
1990-03-18,20.7,10.1,0,24.19,6.19,1.79,20
1990-03-19,20.4,6.6,0,24.17,5.84,2.08,17.9
1990-03-20,23,6.3,0,24.7,6.05,2.54,18.7
1990-03-21,24.2,8.3,0,24.96,6.78,2.71,19.6
1990-03-22,29.4,9.1,0,25.19,6.91,3.74,21.9
1990-03-23,30.6,11.5,0,24.74,7.75,4.14,23.4
1990-03-24,28.5,15.1,0,22.93,6.86,3.54,25.7
1990-03-25,24.3,12,0,25.17,7.18,2.64,22.2
1990-03-26,24.5,12.3,0,22.9,6.53,2.64,21.5
1990-03-27,25.5,8,0,25.9,6.66,2.89,21.5
1990-03-28,26.5,9.8,0,25.45,6.8,3.04,23.1
1990-03-29,28.2,14.3,0,22.19,7.56,3.34,23.7
1990-03-30,31.1,16.1,0,24.07,8.56,3.89,25.8
1990-03-31,26.9,16.7,5.5,18.9,6.53,2.32,24
1990-04-01,29.8,14.4,0,25.15,6.9,3.48,21.7
1990-04-02,27.9,16.6,0,23.41,7.48,3.05,22.9
1990-04-03,25.8,12.8,0,26.56,6.87,2.86,23.7
1990-04-04,29.1,9.8,0,22.85,6.41,3.51,23.1
1990-04-05,25.8,11.2,0,26.77,6.72,2.81,23.5
1990-04-06,29.7,9.7,0,26.99,7.79,3.88,23.5
1990-04-07,27.2,12.8,0,27.3,7.49,3.27,24.9
1990-04-08,27.8,11.2,0,26.95,7.81,3.32,24
1990-04-09,29.3,13.3,0,26.68,6.73,3.51,26.7
1990-04-10,31.1,18,0,26.14,8.83,3.77,26.3
1990-04-11,31.1,13.4,0,27.01,6.92,3.87,27.6
1990-04-12,38,17.1,0,27.04,9.67,6.16,29.8
1990-04-13,39.4,21.7,0,26.95,11.45,6.76,31.7
1990-04-14,39.6,20.6,0,27.21,10.6,6.81,32.4
1990-04-15,37.7,19.7,0,27.34,9.51,5.89,32.8
