date,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,soil_temperature_0_to_7cm_mean,soil_moisture_0_to_10cm_mean,vapour_pressure_deficit_max
1/1/90,27.7,22.1,0,3.41,14.59,27.7,NaN,1.66
1/2/90,28.2,22.2,0.1,3.44,15.07,28,NaN,1.69
1/3/90,28.4,22.4,0.3,3.58,14.92,27.1,NaN,1.52
1/4/90,25.3,21,3,3.22,10.93,24.5,NaN,1.39
1/5/90,25.2,18.3,0,5.11,17.71,22.9,NaN,1.99
1/6/90,27.2,19.2,0,4.96,17.28,24.7,NaN,2.19
1/7/90,27,20.6,0,4.14,16.83,26.6,NaN,1.72
1/8/90,26.6,21.2,0,4.49,16.64,26.8,NaN,1.58
1/9/90,25.1,20.7,0,5.59,16.88,25.1,NaN,1.86
1/10/90,26.1,18.9,0,5.69,17.42,25,NaN,2.36
1/11/90,26.5,21.1,0,4.12,12.34,26.4,NaN,2.08
1/12/90,26.5,21.6,0,3.75,14.19,27.1,NaN,1.6
1/13/90,26.7,21.6,0,3.93,15.38,27.7,NaN,1.48
1/14/90,25.3,20.9,1.1,4.2,13.08,25.3,NaN,1.71
1/15/90,24.5,18.8,0,4.8,17.57,24.1,NaN,1.74
1/16/90,24.9,18.7,0,5.14,16.68,24,NaN,1.86
1/17/90,24.8,18.9,0,5.42,17.94,24.2,NaN,1.93
1/18/90,24.6,18.7,0,5.46,17.04,24.5,NaN,2.1
1/19/90,27.9,18.9,0,5.59,18.76,26.1,NaN,2.94
1/20/90,28.4,19.4,0,5.74,18.06,26.8,NaN,2.71
1/21/90,27.9,21.8,0.2,4.47,13.84,27.7,NaN,2.53
1/22/90,26.9,21.8,0,4.76,16.03,27.1,NaN,1.84
1/23/90,25.5,19.9,0,4.71,17.27,25.9,NaN,1.79
1/24/90,26.1,19.3,0,4.96,16.6,25.5,NaN,1.95
1/25/90,28.1,20.2,0,5.31,17.9,26.9,NaN,2.29
1/26/90,28.5,21.7,0,4.83,18.18,27.8,NaN,2.31
1/27/90,27.7,21.3,0,3.5,16.64,28.5,NaN,1.37
1/28/90,26.1,21.5,0.1,5.36,16.95,26.4,NaN,2.18
1/29/90,29.7,20.3,0,6.76,18.7,27.3,NaN,2.81
1/30/90,28.7,21.1,0,6.32,17.98,28.3,NaN,2.58
1/31/90,27.8,20.7,0,3.56,15.04,27.5,NaN,1.62
2/1/90,29.5,22.9,0,4.52,17.97,28.1,NaN,1.84
2/2/90,25.5,22.6,1.2,4.36,9.32,25.7,NaN,2
2/3/90,24.2,21,0.2,4.15,8.65,24.7,NaN,1.54
2/4/90,25,21.1,0,4.99,13.26,24.8,NaN,1.81
2/5/90,24.4,18.7,0,5.34,18.81,24.5,NaN,1.77
2/6/90,24.4,17.9,0,5.4,19.43,24.5,NaN,1.95
2/7/90,24.7,17.8,0,6.01,20.13,24.1,NaN,2.01
2/8/90,24.9,17.9,0,5.18,18.03,24.5,NaN,1.8
2/9/90,24.5,20.3,0,4.69,16.95,25.5,NaN,1.63
2/10/90,24.5,17.9,0,5.42,19.88,24.5,NaN,1.85
2/11/90,24.7,17.5,0,6.38,20.22,24.1,NaN,2.16
2/12/90,25.3,19,0,6.41,19.68,24.7,NaN,2.17
2/13/90,24.9,17.4,0,5.52,20.58,24.3,NaN,1.85
2/14/90,25.8,17.9,0,5.81,20.76,24.9,NaN,2.15
2/15/90,26.6,17.4,0,5.97,21.11,25.3,NaN,2.6
2/16/90,28.7,18.2,0,6.57,21.46,25.7,NaN,3.13
2/17/90,27.6,19.5,0,5.92,19.7,26.1,NaN,2.6
2/18/90,26.3,19.3,0,5.37,19.7,26.1,NaN,2.01
2/19/90,27.1,17.8,0,5.84,21.09,25.9,NaN,2.55
2/20/90,25.1,18.4,0,5.54,21.4,25,NaN,1.94
2/21/90,24.6,17.5,0,5.31,21.3,24.8,NaN,1.75
2/22/90,25.1,17.6,0,5.85,21.75,24.8,NaN,2.01
2/23/90,24.6,17.5,0,5.99,21.93,24.3,NaN,2.02
2/24/90,24.8,17.1,0,5.98,21.84,24.3,NaN,2.01
2/25/90,23.1,17.5,0,5.27,19.48,23.6,NaN,1.52
2/26/90,25.1,16.7,0,6.09,21.92,24.3,NaN,2.27
2/27/90,26.2,18.1,0,6.59,22.74,26.3,NaN,2.38
2/28/90,25.5,18.5,0,5.55,22.46,26.1,NaN,1.91
3/1/90,26,17.1,0,5.62,22.94,25.7,NaN,2.13
3/2/90,27.5,18.5,0,6.99,23.64,25.5,NaN,2.78
3/3/90,30.6,18.7,0,6.6,23.24,28.2,NaN,3.89
3/4/90,28.9,22.2,0,6.96,22.61,29.8,NaN,2.66
3/5/90,27.8,19.7,0,4.71,21.5,28.9,NaN,1.64
3/6/90,26.8,22.1,0,4.55,20.44,29.1,NaN,1.26
3/7/90,27.3,21,0,5.54,20.15,27.6,NaN,2.15
3/8/90,26.4,20.6,0,5.95,20.6,27.3,NaN,1.88
3/9/90,27.4,20.8,0,5.24,19.2,27.7,NaN,1.77
3/10/90,27.3,22.1,0.5,4.89,20.19,28.9,NaN,1.56
3/11/90,27,21.5,0.4,6.21,21.64,27.3,NaN,2.18
3/12/90,25.6,19.6,0.3,5.61,18,25.6,NaN,2.13
3/13/90,25.8,18.9,0,6.63,24.14,25.5,NaN,2.14
3/14/90,27.1,17.6,0,7.01,24.66,25.6,NaN,2.47
3/15/90,28.5,19.6,0,5.75,23.94,28.2,NaN,2.21
3/16/90,28.3,20.5,0,5.15,23.4,29.8,NaN,1.76
3/17/90,28.2,20.9,0,4.94,22.79,30.2,NaN,1.63
3/18/90,28.8,22.1,0,6.11,23.73,30.6,NaN,2.16
3/19/90,28.7,22,0,6.84,24.13,29.3,NaN,2.33
3/20/90,28,20.3,0,6.17,24.51,28.4,NaN,2.15
3/21/90,28.4,20.7,0,6.62,23.58,28.4,NaN,2.49
3/22/90,28.5,20.5,0,7.25,24.76,28.3,NaN,2.74
3/23/90,27.7,21.1,0,6.18,17.36,27.2,NaN,2.36
3/24/90,27.4,21.8,0,6.86,20.39,27.8,NaN,2.34
3/25/90,27.6,21.7,0.2,6.68,22.96,28.5,NaN,2.15
3/26/90,26.4,21.7,0,5.11,15.8,26.7,NaN,1.79
3/27/90,27.6,19.5,0,6.21,25.6,28.2,NaN,2.11
3/28/90,28.5,21.1,0,5.84,25.25,29.3,NaN,1.93
3/29/90,29.1,21.2,0,5.65,25.16,30.3,NaN,1.93
3/30/90,28.8,22.5,0,5.54,23.5,31,NaN,1.83
3/31/90,27.7,22.6,0,4.97,22.95,30.1,NaN,1.71
4/1/90,27.5,19.9,0,5.35,26.02,29.9,NaN,1.76
4/2/90,28,22.5,0,6.23,23.21,29,NaN,2.34
4/3/90,29.1,20.3,0,7.77,25.75,29,NaN,2.98
4/4/90,28.2,21.4,0,7.34,24.29,28.7,NaN,2.43
4/5/90,27.9,19.4,0,6.69,27.08,27.9,NaN,2.29
4/6/90,29.2,18.5,0,6.72,26.91,28.7,NaN,2.38
4/7/90,29.8,20.5,0,7.25,27.02,29.3,NaN,2.75
4/8/90,29.8,21.1,0,7.08,27.18,29.4,NaN,2.64
4/9/90,28.7,18.7,0,6.08,26.99,29.1,NaN,2.19
4/10/90,29.5,19.2,0,6.13,26.48,30,NaN,2.27
4/11/90,31.5,21.2,0,6.77,27.15,32,NaN,2.58
4/12/90,31.2,21.5,0,6.05,27.02,31.3,NaN,2.28
4/13/90,31.9,23,0,6.09,26.63,31.8,NaN,2.41
4/14/90,31.8,22.8,0,6.12,26.47,33.2,NaN,2.29
4/15/90,31.2,24,0,6.5,26.96,31.9,NaN,2.1
4/16/90,30.5,22.8,0,6.86,27.2,30.3,NaN,2.46
4/17/90,29.7,21.4,0,6.31,27.18,30.5,NaN,2.02
4/18/90,29.7,22.7,0,6.23,27.03,31.9,NaN,1.9
4/19/90,30.2,23,0,6.01,26.97,33,NaN,1.99
4/20/90,30.9,22.7,0,6.03,26.96,33.3,NaN,2.09
4/21/90,31.2,23.7,0,6.3,27.12,32.8,NaN,2.25
4/22/90,30.3,22.1,0,5.93,27.35,32.3,NaN,2.02
4/23/90,30.2,22.7,0,5.52,25.43,32.5,NaN,1.9
4/24/90,31.8,23.6,0,6.1,25.46,33.4,NaN,2.71
4/25/90,30.6,23,1.4,5.7,24.52,32.9,NaN,2.18
4/26/90,29.1,23.4,1.6,4.61,21.74,32.1,NaN,1.91
4/27/90,29.2,22.5,13.3,4.95,23.41,30.1,NaN,1.77
4/28/90,29.3,22,13.3,4.81,22.86,27.7,NaN,1.59
4/29/90,29.5,23.9,0.3,4.99,25.18,29,NaN,1.23
4/30/90,30.5,24.5,0,5.41,26.56,30,NaN,1.46
5/1/90,31.2,24.9,0,6.09,26.94,31.4,NaN,1.82
5/2/90,31.4,24.7,0,6.24,26.61,32.6,NaN,1.93
5/3/90,31.6,24.5,0,6.63,26.37,32.9,NaN,2.32
5/4/90,32.2,24.7,0,7.12,27.27,33.5,NaN,2.51
5/5/90,32.2,24.8,0,7.57,27.39,32.9,NaN,2.55
5/6/90,32.3,25,0,7.68,27.14,33.1,NaN,2.7
5/7/90,33.8,25.7,0,8.34,27.02,33.9,NaN,3.22
5/8/90,34.6,26.8,0,8.47,27.63,35.1,NaN,3.45
5/9/90,32.3,25,0,6.78,27.99,34.8,NaN,2.52
5/10/90,35.9,24.5,0,7.85,28.15,35.1,NaN,3.64
5/11/90,33.3,25.7,0,7.93,27.82,33.6,NaN,2.78
5/12/90,31.5,25.1,0,8.7,28.32,32.5,NaN,3.09
5/13/90,30.8,22.5,0,7.48,28.8,31.7,NaN,2.64
5/14/90,31.2,22.4,0,6.78,28.83,32.4,NaN,2.5
5/15/90,32.9,22.6,0,6.61,29.07,33.3,NaN,2.75
5/16/90,34.7,22.6,0,7.32,28.78,33.6,NaN,3.42
5/17/90,33.4,24.6,0,7.52,28.2,33.3,NaN,2.69
5/18/90,34.3,25.5,0,8.47,28.13,33.6,NaN,3.31
5/19/90,34.1,25.2,0,8.73,28.3,33.4,NaN,3.38
5/20/90,34.2,24.7,0,8.57,28.31,33.3,NaN,3.33
5/21/90,33.4,26.2,0,8.48,28.04,33.2,NaN,3.02
5/22/90,34.1,25.7,0,8.68,28.09,33.2,NaN,3.33
5/23/90,33.5,25.2,0,8.08,27.93,33.2,NaN,2.9
5/24/90,33.3,25.3,0,7.69,27.82,33.2,NaN,2.83
5/25/90,33.7,25,0,8.02,27.81,33.3,NaN,2.95
5/26/90,34.6,25.9,0,8.23,27.87,34.2,NaN,3.15
5/27/90,33.6,26.1,0,7.51,27.92,35.3,NaN,2.56
5/28/90,32.8,24.9,0,6.17,27.39,35.3,NaN,2.12
5/29/90,32.7,25.7,0,6.03,27.01,35.2,NaN,2.27
5/30/90,32.5,25.4,0,5.91,27.1,35.2,NaN,2.17
5/31/90,33.7,25.9,0,6.32,27.39,35.1,NaN,2.56
6/1/90,35.1,26.1,0,6.49,27.22,35.7,NaN,2.96
6/2/90,33.9,26.4,0,7.36,27.27,34.5,NaN,2.76
6/3/90,33.4,26.6,0,8.22,27.11,33.7,NaN,2.84
6/4/90,32.1,25.2,0,7.03,26.65,33.2,NaN,2.25
6/5/90,32.7,25.4,0,6.88,27.03,34.2,NaN,2.22
6/6/90,32.4,25.2,0,6.28,26.75,34.6,NaN,2.21
6/7/90,33,25.4,0,6.33,26.88,35,NaN,2.22
6/8/90,33.2,25.8,0,6.25,26.79,35.6,NaN,2.18
6/9/90,33.5,25.6,0,6.34,26.72,35.7,NaN,2.3
6/10/90,35.8,27.2,0,8.18,27.06,35.4,NaN,3.48
