date,temperature_2m_max,temperature_2m_min,precipitation_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,vapour_pressure_deficit_max,soil_temperature_0_to_7cm_mean
1990-01-01,24,10.4,0,16.65,3.26,1.93,19.8
1990-01-02,23.9,12.1,0,16.56,3.27,1.83,20.2
1990-01-03,23.6,11.8,0,17.1,3.36,1.85,19.9
1990-01-04,23.8,10.3,0,17.38,3.28,1.82,19.3
1990-01-05,23.6,9.7,0,17.42,3.22,1.89,19.1
1990-01-06,24.4,10.3,0,17.27,3.47,1.99,19.2
1990-01-07,25.3,10.7,0,17.31,3.47,2.14,20
1990-01-08,25.6,11.1,0,17.4,3.57,2.17,20.2
1990-01-09,25.3,11.1,0,17.29,3.55,2.05,20.2
1990-01-10,24.1,10.6,0,17.72,3.62,2.1,19.8
1990-01-11,24.2,10.6,0,17.49,3.47,1.91,19.8
1990-01-12,23.8,11.6,0,17.04,3.28,1.76,20.3
1990-01-13,24.7,12,0,17.28,3.37,1.82,20.8
1990-01-14,26.3,12,0,17.67,3.56,2.11,21.2
1990-01-15,27.3,14.8,0,17.66,3.64,2.34,22
1990-01-16,26.7,13.5,0,17.75,3.72,2.23,22.4
1990-01-17,26.2,12.8,0,18.05,3.85,2.24,21.7
1990-01-18,27.7,12.1,0,18.06,4.02,2.56,21.8
1990-01-19,28.1,13.6,0,18.02,4.05,2.4,22.6
1990-01-20,26.5,14.1,0,15.06,3.25,1.83,23
1990-01-21,26.1,16,0,11.72,2.55,1.76,23.4
1990-01-22,26.9,16.7,0,13.02,2.79,1.96,24.2
1990-01-23,28,18.3,0,15.02,3.18,2.17,24.5
1990-01-24,28.3,17.6,0,17.23,3.91,2.56,24.4
1990-01-25,28.2,15,0,18.4,3.91,2.4,24.2
1990-01-26,28.3,14.7,0,17.77,3.6,2.37,24.1
1990-01-27,28.4,15.2,0,16.97,3.43,2.32,24.4
1990-01-28,29.2,16.2,0,17.54,3.7,2.52,24.5
1990-01-29,30.7,18.5,0,18.52,4.33,2.75,25
1990-01-30,30.2,18,0,18.72,4.12,2.84,26
1990-01-31,29.9,17.9,0,19.2,4.19,3.25,25.4
1990-02-01,30.3,15.3,0,19.36,4.16,3.1,25
1990-02-02,29.5,19.6,0,18.36,3.71,2.57,26.2
1990-02-03,29.1,18.6,0,17.26,3.74,2.64,25.7
1990-02-04,28.6,16.2,0,18.9,3.78,2.59,25.2
1990-02-05,29.2,17.8,0.4,15.43,3.27,2.29,24.9
1990-02-06,28.9,16.2,0,17.26,3.47,2.54,25
1990-02-07,29.2,17,0,18.47,3.82,2.66,25.7
1990-02-08,30,17.5,0,17.81,3.78,2.64,25.9
1990-02-09,31.2,19.2,0,18.6,4.04,2.73,27.1
1990-02-10,31.1,19.8,3.4,18.35,3.75,2.7,27.3
1990-02-11,28.7,19.6,0,18.13,4.14,2.26,26.2
1990-02-12,29.8,17.6,0,19.41,4.24,2.58,26.4
1990-02-13,30.1,17,0,19.44,3.99,2.63,26.5
1990-02-14,24.7,19.4,1.5,8.83,1.96,1.28,23.8
1990-02-15,26.5,17.8,4.7,14.59,2.86,1.52,24.1
1990-02-16,26.9,17.1,0.1,17.21,3.34,1.86,24.2
1990-02-17,26.6,18.2,1.1,15.83,3.15,1.53,24.7
1990-02-18,27.6,18.7,9.9,14.34,2.88,1.61,24.3
1990-02-19,23.3,18.9,14.9,9.72,1.84,0.78,23.2
1990-02-20,26.6,18.4,16.1,14.5,2.83,1.22,23.2
1990-02-21,24.1,17.8,3.2,8.72,1.77,0.8,22.4
1990-02-22,25.7,17.2,1.3,19.26,3.57,1.59,23
1990-02-23,25.4,16.7,8.4,17.13,3.15,1.21,22.9
1990-02-24,26.9,17.1,1.3,18.84,3.62,1.54,23.3
1990-02-25,26.1,18.1,16.4,15.04,2.82,1.19,23.1
1990-02-26,25.9,18.1,0.3,13,2.49,1.29,23.1
1990-02-27,28.6,16.8,0,21.03,4.15,2.1,23.8
1990-02-28,28.7,18.8,0,19.75,4.04,1.86,24.3
1990-03-01,27.7,20,1.3,11.94,2.59,1.39,24.5
1990-03-02,26.2,20.5,1,12.87,2.76,1.39,24.2
1990-03-03,22,17.5,3.4,5.5,1.4,1.19,21.6
1990-03-04,25.9,16.8,0,14.88,3.04,1.66,21.5
1990-03-05,26.8,15.4,0,21.27,4.14,1.68,23
1990-03-06,22.1,19.3,11.5,6.01,1.37,0.86,21.7
1990-03-07,26.1,17.4,0.1,19.67,3.64,1.54,22.7
1990-03-08,27.8,16.4,0,22.6,4.36,2.2,22.7
1990-03-09,27.7,18.3,0,17.68,3.88,1.84,23.5
1990-03-10,29.1,19.1,0.5,19.86,4.08,1.73,24.7
1990-03-11,29.5,20.3,0,16.88,3.6,1.82,25.3
1990-03-12,28.4,19.6,6.9,17.67,3.54,1.74,25.4
1990-03-13,27.2,19.1,13.8,19.33,3.66,1.26,24.8
1990-03-14,26.5,18.1,0.2,16.48,3.27,1.47,23.8
1990-03-15,27.5,18.9,0.4,19.73,3.83,1.5,24.2
1990-03-16,28.7,20,0,20.07,4.04,2.01,24.9
1990-03-17,30.5,18.9,0,23.59,4.84,2.53,25.5
1990-03-18,31.3,18.7,0,23.37,5,2.76,26
1990-03-19,31.9,19.8,0,22.46,5.02,2.7,26.6
1990-03-20,33.9,22.3,1.5,22.28,5.09,3.21,27.5
1990-03-21,34.6,23.9,0,22.92,5.49,3.39,28.4
1990-03-22,34.3,24.1,0,23.38,5.37,2.92,29.1
1990-03-23,34.1,24.4,7.7,21.24,4.75,2.63,28.9
1990-03-24,31.9,22.9,29.4,17.5,3.7,1.77,28
1990-03-25,27.4,22,14.1,14.53,2.89,1.12,26.5
1990-03-26,28,20.7,0,17.92,3.61,1.42,25.9
1990-03-27,26.9,20.9,34.4,11.84,2.41,1.08,24.7
1990-03-28,25.1,21.6,15.8,9.54,1.86,0.74,24.2
1990-03-29,27,21,6,13.9,2.77,1.06,25.1
1990-03-30,29.8,22.2,0,19.33,4,1.76,26.4
1990-03-31,31.6,21.9,4.2,23.41,4.91,1.89,27.5
1990-04-01,30,24,2.9,20.4,4.15,1.29,28
1990-04-02,30.7,20.5,7.4,25.39,5.17,2.71,27.2
1990-04-03,29.6,21,10.7,18.1,3.59,1.65,26.4
1990-04-04,27.1,19.3,18.8,17.46,3.36,1.22,25
1990-04-05,28.4,18.4,0.1,23.53,4.54,1.78,25
1990-04-06,28.3,19.4,3.9,20.03,3.91,1.21,25.6
1990-04-07,29.4,21.6,2.2,17.12,3.54,1.23,26.5
1990-04-08,31.1,24.2,10.2,21.1,4.51,1.63,27.5
1990-04-09,33.4,24.9,0.1,24.12,5.27,2.61,28.5
1990-04-10,33.7,24.2,0,26.54,5.87,3.4,28.6
1990-04-11,34.1,24.3,0,26.28,5.68,3.06,28.8
1990-04-12,35.1,24.2,0,26.13,5.84,2.9,29.3
1990-04-13,33.8,25.5,0,24.84,5.48,1.99,29.9
1990-04-14,35.3,26.3,0,24.86,5.66,2.44,30.5
